code_site	Itineraire	X	Y	commune	cours_eau	date_visite	Annee	Mois	Jour	observateurs	statut_observation	description	observation	bilan_choix_site	nombre_epreinte	nb_ep_tot	nb_ep_w	nb_ep_dnf	nb_ep_df
1	1	48.585217	 -3.573359	Plounérin	Yar	NA	NA	NA	NA	NA	0	NA	NA	Favorable	NA	0	NA	NA	NA
2	1	48.62083	 -3.590561	Plufur	Yar	NA	NA	NA	NA	NA	0	NA	NA	Favorable	NA	0	NA	NA	NA
3	4	48.61123	 -3.51294	Plouaret	Roscoat	NA	NA	NA	NA	NA	0	NA	NA	Favorable	NA	0	NA	NA	NA
5	4	48.62734	 -3.51969	Plouaret	Roscoat	NA	NA	NA	NA	NA	1	NA	NA	Très favorable	NA	1	NA	NA	NA
6	4	48.62862	 -3.53029	Lanvellec	Roscoat	NA	NA	NA	NA	NA	0	NA	NA	Favorable	NA	0	NA	NA	NA
7	3	48.63302	 -3.543	Lanvellec	Roscoat	NA	NA	NA	NA	NA	1	NA	NA	Très favorable	NA	1	NA	NA	NA
8	3	48.64132	-3.55326	Plouzélambre	Roscoat	NA	NA	NA	NA	NA	0	NA	NA	Favorable	NA	0	NA	NA	NA
9	4	48.4682	 -3.53988	Plouzélambre	Roscoat (affluent)	NA	NA	NA	NA	NA	0	NA	NA	Favorable	NA	0	NA	NA	NA
12	3	48.674833	 -3.572990	St Michel en Grève	Roscoat	NA	NA	NA	NA	NA	0	NA	NA	Favorable	NA	0	NA	NA	NA
14	3	48.67091	 -3.57926	Plestin les grèves	Yar	NA	NA	NA	NA	NA	0	NA	NA	Très favorable	NA	0	NA	NA	NA
16	2	48.65719	 -3.57631	Tréduder	Yar	NA	NA	NA	NA	NA	0	NA	NA	Favorable	NA	0	NA	NA	NA
19	2	48.64695	 -3.57763	Plestin les grèves	Yar	NA	NA	NA	NA	NA	0	NA	NA	Favorable	NA	0	NA	NA	NA
20	2	48.64267	 -3.58159	Plestin les grèves	Yar	NA	NA	NA	NA	NA	0	NA	NA	Favorable	NA	0	NA	NA	NA
21	2	48.63795	 -3.5832	Plestin les grèves	Yar	NA	NA	NA	NA	NA	0	NA	NA	Favorable	NA	0	NA	NA	NA
24	1	48.622,	 -3.603	Trémel	Yar	NA	NA	NA	NA	NA	0	NA	NA	Favorable	NA	0	NA	NA	NA
27	4	48.68482	 -3.56188	St Michel en Grève	Kerdu	NA	NA	NA	NA	NA	0	NA	NA	Favorable	NA	0	NA	NA	NA
29	4	48.67589	 -3.54265	St Michel en Grève	Kerdu	NA	NA	NA	NA	NA	0	NA	NA	Favorable	NA	0	NA	NA	NA
30	4	48.67459	 -3.53511	Ploumilliau	Kerdu	NA	NA	NA	NA	NA	0	NA	NA	Favorable	NA	0	NA	NA	NA
31	4	48.67299	 -3.53261	Ploumilliau	Kerdu	NA	NA	NA	NA	NA	0	NA	NA	Favorable	NA	0	NA	NA	NA
36	4	48.663573	 -3.517329	Ploumilliau	Kerdu	NA	NA	NA	NA	NA	1	NA	NA	Très favorable	NA	1	NA	NA	NA
372	1	48.663	 -3.601	Plestin les grèves	Quinquis	NA	NA	NA	NA	NA	0	NA	NA	Favorable	NA	0	NA	NA	NA
41	1	48.653	 -3.603	Plestin les grèves	Quinquis	NA	NA	NA	NA	NA	0	NA	NA	Favorable	NA	0	NA	NA	NA
42	1	48.655505	 -3.599438	Plestin les grèves	Quinquis	NA	NA	NA	NA	NA	0	NA	NA	Favorable	NA	0	NA	NA	NA
45	2	48.59425	 -3.57095	Plufur	Yar	NA	NA	NA	NA	NA	0	NA	NA	Favorable	NA	0	NA	NA	NA
46	3	48.632757	 -3.562284	Plufur	Yar	NA	NA	NA	NA	NA	0	NA	NA	Favorable	NA	0	NA	NA	NA
52	3	48.632757	 -3.562284	Lanvellec	Yar (Dour Elego)	NA	NA	NA	NA	NA	0	NA	NA	Favorable	NA	0	NA	NA	NA
53	2	48.61999	 -3.5675	Plufur	Yar	NA	NA	NA	NA	NA	0	NA	NA	Favorable	NA	0	NA	NA	NA
54	2	48.60418	 -3.5697	Plufur	Yar	NA	NA	NA	NA	NA	1	NA	NA	Très favorable	NA	1	NA	NA	NA
58	1	48.599651,	 -3.601555	Trémel	Yar	NA	NA	NA	NA	NA	1	NA	NA	Très favorable	NA	1	NA	NA	NA
